dt,uid,bikes_available_to_rent
2021-12-24 00:14:49,29745906,3
2021-12-24 00:14:49,29746009,2
2021-12-24 00:14:49,29746047,1
2021-12-24 00:14:49,29746068,0
2021-12-24 00:14:49,29746123,2
2021-12-24 00:14:49,29746679,8
2021-12-24 00:14:49,29747497,5
2021-12-24 00:14:49,29749806,2
2021-12-24 00:14:49,29749855,2
2021-12-24 00:14:49,29749951,2
2021-12-24 00:14:49,29750190,0
2021-12-24 00:14:49,29750264,3
2021-12-24 00:14:49,29750615,5
2021-12-24 00:14:49,29751228,3
2021-12-24 00:14:49,29751388,3
2021-12-24 00:14:49,29751426,7
2021-12-24 00:14:49,29751467,2
2021-12-24 00:14:49,29751502,0
2021-12-24 00:14:49,29751545,2
2021-12-24 00:14:49,29751592,0
2021-12-24 00:14:49,29751674,2
2021-12-24 00:14:49,29751736,1
2021-12-24 00:14:49,29751789,6
2021-12-24 00:14:49,29751918,0
2021-12-24 00:14:49,29752309,18
2021-12-24 00:14:49,29752472,1
2021-12-24 00:14:49,29752573,0
2021-12-24 00:14:49,29753372,0
2021-12-24 00:14:49,29753410,1
2021-12-24 00:14:49,29992386,8
2021-12-24 00:14:49,29992613,4
2021-12-24 00:14:49,30278163,0
2021-12-24 00:14:49,30613108,6
2021-12-24 00:14:49,30613827,8
2021-12-24 00:14:49,30613955,3
2021-12-24 00:14:49,30925063,3
2021-12-24 00:14:49,31868207,2
2021-12-24 00:14:49,35855774,0
2021-12-24 00:14:49,35855809,6
2021-12-24 00:29:00,29745906,3
2021-12-24 00:29:00,29746009,2
2021-12-24 00:29:00,29746047,1
2021-12-24 00:29:00,29746068,0
2021-12-24 00:29:00,29746123,2
2021-12-24 00:29:00,29746679,8
2021-12-24 00:29:00,29747497,5
2021-12-24 00:29:00,29749806,2
2021-12-24 00:29:00,29749855,2
2021-12-24 00:29:00,29749951,2
2021-12-24 00:29:00,29750190,0
2021-12-24 00:29:00,29750264,3
2021-12-24 00:29:00,29750615,5
2021-12-24 00:29:00,29751228,3
2021-12-24 00:29:00,29751388,3
2021-12-24 00:29:00,29751426,7
2021-12-24 00:29:00,29751467,2
2021-12-24 00:29:00,29751502,0
2021-12-24 00:29:00,29751545,2
2021-12-24 00:29:00,29751592,0
2021-12-24 00:29:00,29751674,2
2021-12-24 00:29:00,29751736,1
2021-12-24 00:29:00,29751789,6
2021-12-24 00:29:00,29751918,0
2021-12-24 00:29:00,29752309,18
2021-12-24 00:29:00,29752472,1
2021-12-24 00:29:00,29752573,0
2021-12-24 00:29:00,29753372,0
2021-12-24 00:29:00,29753410,1
2021-12-24 00:29:00,29992386,8
2021-12-24 00:29:00,29992613,4
2021-12-24 00:29:00,30278163,0
2021-12-24 00:29:00,30613108,6
2021-12-24 00:29:00,30613827,8
2021-12-24 00:29:00,30613955,3
2021-12-24 00:29:00,30925063,3
2021-12-24 00:29:00,31868207,2
2021-12-24 00:29:00,35855774,0
2021-12-24 00:29:00,35855809,6
2021-12-24 00:40:44,29745906,3
2021-12-24 00:40:44,29746009,2
2021-12-24 00:40:44,29746047,1
2021-12-24 00:40:44,29746068,0
2021-12-24 00:40:44,29746123,2
2021-12-24 00:40:44,29746679,8
2021-12-24 00:40:44,29747497,5
2021-12-24 00:40:44,29749806,2
2021-12-24 00:40:44,29749855,2
2021-12-24 00:40:44,29749951,2
2021-12-24 00:40:44,29750190,0
2021-12-24 00:40:44,29750264,3
2021-12-24 00:40:44,29750615,5
2021-12-24 00:40:44,29751228,3
2021-12-24 00:40:44,29751388,3
2021-12-24 00:40:44,29751426,7
2021-12-24 00:40:44,29751467,2
2021-12-24 00:40:44,29751502,0
2021-12-24 00:40:44,29751545,2
2021-12-24 00:40:44,29751592,0
2021-12-24 00:40:44,29751674,2
2021-12-24 00:40:44,29751736,1
2021-12-24 00:40:44,29751789,6
2021-12-24 00:40:44,29751918,0
2021-12-24 00:40:44,29752309,18
2021-12-24 00:40:44,29752472,1
2021-12-24 00:40:44,29752573,0
2021-12-24 00:40:44,29753372,0
2021-12-24 00:40:44,29753410,1
2021-12-24 00:40:44,29992386,8
2021-12-24 00:40:44,29992613,4
2021-12-24 00:40:44,30278163,0
2021-12-24 00:40:44,30613108,6
2021-12-24 00:40:44,30613827,8
2021-12-24 00:40:44,30613955,3
2021-12-24 00:40:44,30925063,3
2021-12-24 00:40:44,31868207,2
2021-12-24 00:40:44,35855774,0
2021-12-24 00:40:44,35855809,6
2021-12-24 00:53:08,29745906,3
2021-12-24 00:53:08,29746009,2
2021-12-24 00:53:08,29746047,1
2021-12-24 00:53:08,29746068,0
2021-12-24 00:53:08,29746123,2
2021-12-24 00:53:08,29746679,8
2021-12-24 00:53:08,29747497,5
2021-12-24 00:53:08,29749806,2
2021-12-24 00:53:08,29749855,2
2021-12-24 00:53:08,29749951,2
2021-12-24 00:53:08,29750190,0
2021-12-24 00:53:08,29750264,3
2021-12-24 00:53:08,29750615,5
2021-12-24 00:53:08,29751228,3
2021-12-24 00:53:08,29751388,3
2021-12-24 00:53:08,29751426,7
2021-12-24 00:53:08,29751467,2
2021-12-24 00:53:08,29751502,0
2021-12-24 00:53:08,29751545,2
2021-12-24 00:53:08,29751592,0
2021-12-24 00:53:08,29751674,2
2021-12-24 00:53:08,29751736,1
2021-12-24 00:53:08,29751789,6
2021-12-24 00:53:08,29751918,0
2021-12-24 00:53:08,29752309,18
2021-12-24 00:53:08,29752472,1
2021-12-24 00:53:08,29752573,0
2021-12-24 00:53:08,29753372,0
2021-12-24 00:53:08,29753410,1
2021-12-24 00:53:08,29992386,8
2021-12-24 00:53:08,29992613,4
2021-12-24 00:53:08,30278163,0
2021-12-24 00:53:08,30613108,6
2021-12-24 00:53:08,30613827,8
2021-12-24 00:53:08,30613955,3
2021-12-24 00:53:08,30925063,3
2021-12-24 00:53:08,31868207,2
2021-12-24 00:53:08,35855774,0
2021-12-24 00:53:08,35855809,6
2021-12-24 01:49:40,29745906,3
2021-12-24 01:49:40,29746009,2
2021-12-24 01:49:40,29746047,1
2021-12-24 01:49:40,29746068,0
2021-12-24 01:49:40,29746123,2
2021-12-24 01:49:40,29746679,8
2021-12-24 01:49:40,29747497,5
2021-12-24 01:49:40,29749806,2
2021-12-24 01:49:40,29749855,2
2021-12-24 01:49:40,29749951,2
2021-12-24 01:49:40,29750190,0
2021-12-24 01:49:40,29750264,3
2021-12-24 01:49:40,29750615,5
2021-12-24 01:49:40,29751228,3
2021-12-24 01:49:40,29751388,3
2021-12-24 01:49:40,29751426,7
2021-12-24 01:49:40,29751467,2
2021-12-24 01:49:40,29751502,0
2021-12-24 01:49:40,29751545,2
2021-12-24 01:49:40,29751592,0
2021-12-24 01:49:40,29751674,2
2021-12-24 01:49:40,29751736,1
2021-12-24 01:49:40,29751789,5
2021-12-24 01:49:40,29751918,0
2021-12-24 01:49:40,29752309,18
2021-12-24 01:49:40,29752472,1
2021-12-24 01:49:40,29752573,0
2021-12-24 01:49:40,29753372,0
2021-12-24 01:49:40,29753410,1
2021-12-24 01:49:40,29992386,8
2021-12-24 01:49:40,29992613,4
2021-12-24 01:49:40,30278163,0
2021-12-24 01:49:40,30613108,6
2021-12-24 01:49:40,30613827,8
2021-12-24 01:49:40,30613955,3
2021-12-24 01:49:40,30925063,3
2021-12-24 01:49:40,31868207,2
2021-12-24 01:49:40,35855774,0
2021-12-24 01:49:40,35855809,6
2021-12-24 02:29:02,29745906,3
2021-12-24 02:29:02,29746009,2
2021-12-24 02:29:02,29746047,1
2021-12-24 02:29:02,29746068,0
2021-12-24 02:29:02,29746123,2
2021-12-24 02:29:02,29746679,8
2021-12-24 02:29:02,29747497,5
2021-12-24 02:29:02,29749806,2
2021-12-24 02:29:02,29749855,2
2021-12-24 02:29:02,29749951,2
2021-12-24 02:29:02,29750190,0
2021-12-24 02:29:02,29750264,3
2021-12-24 02:29:02,29750615,5
2021-12-24 02:29:02,29751228,3
2021-12-24 02:29:02,29751388,3
2021-12-24 02:29:02,29751426,7
2021-12-24 02:29:02,29751467,2
2021-12-24 02:29:02,29751502,0
2021-12-24 02:29:02,29751545,2
2021-12-24 02:29:02,29751592,0
2021-12-24 02:29:02,29751674,2
2021-12-24 02:29:02,29751736,1
2021-12-24 02:29:02,29751789,6
2021-12-24 02:29:02,29751918,0
2021-12-24 02:29:02,29752309,17
2021-12-24 02:29:02,29752472,1
2021-12-24 02:29:02,29752573,0
2021-12-24 02:29:02,29753372,0
2021-12-24 02:29:02,29753410,1
2021-12-24 02:29:02,29992386,8
2021-12-24 02:29:02,29992613,4
2021-12-24 02:29:02,30278163,0
2021-12-24 02:29:02,30613108,6
2021-12-24 02:29:02,30613827,8
2021-12-24 02:29:02,30613955,3
2021-12-24 02:29:02,30925063,3
2021-12-24 02:29:02,31868207,2
2021-12-24 02:29:02,35855774,0
2021-12-24 02:29:02,35855809,6
2021-12-24 02:42:02,29745906,3
2021-12-24 02:42:02,29746009,2
2021-12-24 02:42:02,29746047,1
2021-12-24 02:42:02,29746068,0
2021-12-24 02:42:02,29746123,2
2021-12-24 02:42:02,29746679,8
2021-12-24 02:42:02,29747497,5
2021-12-24 02:42:02,29749806,2
2021-12-24 02:42:02,29749855,2
2021-12-24 02:42:02,29749951,2
2021-12-24 02:42:02,29750190,0
2021-12-24 02:42:02,29750264,3
2021-12-24 02:42:02,29750615,5
2021-12-24 02:42:02,29751228,3
2021-12-24 02:42:02,29751388,3
2021-12-24 02:42:02,29751426,7
2021-12-24 02:42:02,29751467,2
2021-12-24 02:42:02,29751502,0
2021-12-24 02:42:02,29751545,2
2021-12-24 02:42:02,29751592,0
2021-12-24 02:42:02,29751674,2
2021-12-24 02:42:02,29751736,1
2021-12-24 02:42:02,29751789,6
2021-12-24 02:42:02,29751918,0
2021-12-24 02:42:02,29752309,17
2021-12-24 02:42:02,29752472,1
2021-12-24 02:42:02,29752573,0
2021-12-24 02:42:02,29753372,0
2021-12-24 02:42:02,29753410,1
2021-12-24 02:42:02,29992386,8
2021-12-24 02:42:02,29992613,4
2021-12-24 02:42:02,30278163,0
2021-12-24 02:42:02,30613108,6
2021-12-24 02:42:02,30613827,8
2021-12-24 02:42:02,30613955,3
2021-12-24 02:42:02,30925063,3
2021-12-24 02:42:02,31868207,2
2021-12-24 02:42:02,35855774,0
2021-12-24 02:42:02,35855809,6
2021-12-24 02:48:07,29745906,3
2021-12-24 02:48:07,29746009,2
2021-12-24 02:48:07,29746047,1
2021-12-24 02:48:07,29746068,0
2021-12-24 02:48:07,29746123,2
2021-12-24 02:48:07,29746679,8
2021-12-24 02:48:07,29747497,5
2021-12-24 02:48:07,29749806,2
2021-12-24 02:48:07,29749855,2
2021-12-24 02:48:07,29749951,2
2021-12-24 02:48:07,29750190,0
2021-12-24 02:48:07,29750264,3
2021-12-24 02:48:07,29750615,5
2021-12-24 02:48:07,29751228,3
2021-12-24 02:48:07,29751388,3
2021-12-24 02:48:07,29751426,7
2021-12-24 02:48:07,29751467,2
2021-12-24 02:48:07,29751502,0
2021-12-24 02:48:07,29751545,2
2021-12-24 02:48:07,29751592,0
2021-12-24 02:48:07,29751674,2
2021-12-24 02:48:07,29751736,1
2021-12-24 02:48:07,29751789,6
2021-12-24 02:48:07,29751918,0
2021-12-24 02:48:07,29752309,17
2021-12-24 02:48:07,29752472,1
2021-12-24 02:48:07,29752573,0
2021-12-24 02:48:07,29753372,0
2021-12-24 02:48:07,29753410,1
2021-12-24 02:48:07,29992386,8
2021-12-24 02:48:07,29992613,4
2021-12-24 02:48:07,30278163,0
2021-12-24 02:48:07,30613108,6
2021-12-24 02:48:07,30613827,8
2021-12-24 02:48:07,30613955,3
2021-12-24 02:48:07,30925063,3
2021-12-24 02:48:07,31868207,2
2021-12-24 02:48:07,35855774,0
2021-12-24 02:48:07,35855809,6
2021-12-24 03:01:32,29745906,3
2021-12-24 03:01:32,29746009,2
2021-12-24 03:01:32,29746047,1
2021-12-24 03:01:32,29746068,0
2021-12-24 03:01:32,29746123,2
2021-12-24 03:01:32,29746679,8
2021-12-24 03:01:32,29747497,5
2021-12-24 03:01:32,29749806,2
2021-12-24 03:01:32,29749855,2
2021-12-24 03:01:32,29749951,2
2021-12-24 03:01:32,29750190,0
2021-12-24 03:01:32,29750264,3
2021-12-24 03:01:32,29750615,5
2021-12-24 03:01:32,29751228,3
2021-12-24 03:01:32,29751388,3
2021-12-24 03:01:32,29751426,7
2021-12-24 03:01:32,29751467,2
2021-12-24 03:01:32,29751502,0
2021-12-24 03:01:32,29751545,2
2021-12-24 03:01:32,29751592,0
2021-12-24 03:01:32,29751674,2
2021-12-24 03:01:32,29751736,1
2021-12-24 03:01:32,29751789,6
2021-12-24 03:01:32,29751918,0
2021-12-24 03:01:32,29752309,17
2021-12-24 03:01:32,29752472,1
2021-12-24 03:01:32,29752573,0
2021-12-24 03:01:32,29753372,0
2021-12-24 03:01:32,29753410,1
2021-12-24 03:01:32,29992386,8
2021-12-24 03:01:32,29992613,4
2021-12-24 03:01:32,30278163,0
2021-12-24 03:01:32,30613108,6
2021-12-24 03:01:32,30613827,8
2021-12-24 03:01:32,30613955,3
2021-12-24 03:01:32,30925063,3
2021-12-24 03:01:32,31868207,2
2021-12-24 03:01:32,35855774,0
2021-12-24 03:01:32,35855809,6
2021-12-24 03:44:34,29745906,3
2021-12-24 03:44:34,29746009,2
2021-12-24 03:44:34,29746047,1
2021-12-24 03:44:34,29746068,0
2021-12-24 03:44:34,29746123,2
2021-12-24 03:44:34,29746679,8
2021-12-24 03:44:34,29747497,5
2021-12-24 03:44:34,29749806,2
2021-12-24 03:44:34,29749855,2
2021-12-24 03:44:34,29749951,2
2021-12-24 03:44:34,29750190,0
2021-12-24 03:44:34,29750264,3
2021-12-24 03:44:34,29750615,5
2021-12-24 03:44:34,29751228,3
2021-12-24 03:44:34,29751388,3
2021-12-24 03:44:34,29751426,7
2021-12-24 03:44:34,29751467,2
2021-12-24 03:44:34,29751502,0
2021-12-24 03:44:34,29751545,2
2021-12-24 03:44:34,29751592,0
2021-12-24 03:44:34,29751674,2
2021-12-24 03:44:34,29751736,1
2021-12-24 03:44:34,29751789,6
2021-12-24 03:44:34,29751918,0
2021-12-24 03:44:34,29752309,17
2021-12-24 03:44:34,29752472,1
2021-12-24 03:44:34,29752573,0
2021-12-24 03:44:34,29753372,0
2021-12-24 03:44:34,29753410,1
2021-12-24 03:44:34,29992386,8
2021-12-24 03:44:34,29992613,4
2021-12-24 03:44:34,30278163,0
2021-12-24 03:44:34,30613108,6
2021-12-24 03:44:34,30613827,8
2021-12-24 03:44:34,30613955,3
2021-12-24 03:44:34,30925063,3
2021-12-24 03:44:34,31868207,2
2021-12-24 03:44:34,35855774,0
2021-12-24 03:44:34,35855809,6
2021-12-24 03:54:24,29745906,3
2021-12-24 03:54:24,29746009,2
2021-12-24 03:54:24,29746047,1
2021-12-24 03:54:24,29746068,0
2021-12-24 03:54:24,29746123,2
2021-12-24 03:54:24,29746679,8
2021-12-24 03:54:24,29747497,5
2021-12-24 03:54:24,29749806,2
2021-12-24 03:54:24,29749855,2
2021-12-24 03:54:24,29749951,2
2021-12-24 03:54:24,29750190,0
2021-12-24 03:54:24,29750264,3
2021-12-24 03:54:24,29750615,5
2021-12-24 03:54:24,29751228,3
2021-12-24 03:54:24,29751388,3
2021-12-24 03:54:24,29751426,7
2021-12-24 03:54:24,29751467,2
2021-12-24 03:54:24,29751502,0
2021-12-24 03:54:24,29751545,2
2021-12-24 03:54:24,29751592,0
2021-12-24 03:54:24,29751674,2
2021-12-24 03:54:24,29751736,1
2021-12-24 03:54:24,29751789,6
2021-12-24 03:54:24,29751918,0
2021-12-24 03:54:24,29752309,17
2021-12-24 03:54:24,29752472,1
2021-12-24 03:54:24,29752573,0
2021-12-24 03:54:24,29753372,0
2021-12-24 03:54:24,29753410,1
2021-12-24 03:54:24,29992386,8
2021-12-24 03:54:24,29992613,4
2021-12-24 03:54:24,30278163,0
2021-12-24 03:54:24,30613108,6
2021-12-24 03:54:24,30613827,8
2021-12-24 03:54:24,30613955,3
2021-12-24 03:54:24,30925063,3
2021-12-24 03:54:24,31868207,2
2021-12-24 03:54:24,35855774,0
2021-12-24 03:54:24,35855809,6
2021-12-24 03:58:38,29745906,3
2021-12-24 03:58:38,29746009,2
2021-12-24 03:58:38,29746047,1
2021-12-24 03:58:38,29746068,0
2021-12-24 03:58:38,29746123,2
2021-12-24 03:58:38,29746679,8
2021-12-24 03:58:38,29747497,5
2021-12-24 03:58:38,29749806,2
2021-12-24 03:58:38,29749855,2
2021-12-24 03:58:38,29749951,2
2021-12-24 03:58:38,29750190,0
2021-12-24 03:58:38,29750264,3
2021-12-24 03:58:38,29750615,5
2021-12-24 03:58:38,29751228,3
2021-12-24 03:58:38,29751388,3
2021-12-24 03:58:38,29751426,7
2021-12-24 03:58:38,29751467,2
2021-12-24 03:58:38,29751502,0
2021-12-24 03:58:38,29751545,2
2021-12-24 03:58:38,29751592,0
2021-12-24 03:58:38,29751674,2
2021-12-24 03:58:38,29751736,1
2021-12-24 03:58:38,29751789,6
2021-12-24 03:58:38,29751918,0
2021-12-24 03:58:38,29752309,17
2021-12-24 03:58:38,29752472,1
2021-12-24 03:58:38,29752573,0
2021-12-24 03:58:38,29753372,0
2021-12-24 03:58:38,29753410,1
2021-12-24 03:58:38,29992386,8
2021-12-24 03:58:38,29992613,4
2021-12-24 03:58:38,30278163,0
2021-12-24 03:58:38,30613108,6
2021-12-24 03:58:38,30613827,8
2021-12-24 03:58:38,30613955,3
2021-12-24 03:58:38,30925063,3
2021-12-24 03:58:38,31868207,2
2021-12-24 03:58:38,35855774,0
2021-12-24 03:58:38,35855809,6
2021-12-24 04:14:32,29745906,3
2021-12-24 04:14:32,29746009,2
2021-12-24 04:14:32,29746047,1
2021-12-24 04:14:32,29746068,0
2021-12-24 04:14:32,29746123,2
2021-12-24 04:14:32,29746679,8
2021-12-24 04:14:32,29747497,5
2021-12-24 04:14:32,29749806,2
2021-12-24 04:14:32,29749855,2
2021-12-24 04:14:32,29749951,2
2021-12-24 04:14:32,29750190,0
2021-12-24 04:14:32,29750264,3
2021-12-24 04:14:32,29750615,5
2021-12-24 04:14:32,29751228,3
2021-12-24 04:14:32,29751388,3
2021-12-24 04:14:32,29751426,7
2021-12-24 04:14:32,29751467,2
2021-12-24 04:14:32,29751502,0
2021-12-24 04:14:32,29751545,2
2021-12-24 04:14:32,29751592,0
2021-12-24 04:14:32,29751674,2
2021-12-24 04:14:32,29751736,1
2021-12-24 04:14:32,29751789,6
2021-12-24 04:14:32,29751918,0
2021-12-24 04:14:32,29752309,17
2021-12-24 04:14:32,29752472,1
2021-12-24 04:14:32,29752573,0
2021-12-24 04:14:32,29753372,0
2021-12-24 04:14:32,29753410,1
2021-12-24 04:14:32,29992386,8
2021-12-24 04:14:32,29992613,4
2021-12-24 04:14:32,30278163,0
2021-12-24 04:14:32,30613108,6
2021-12-24 04:14:32,30613827,8
2021-12-24 04:14:32,30613955,3
2021-12-24 04:14:32,30925063,3
2021-12-24 04:14:32,31868207,2
2021-12-24 04:14:32,35855774,0
2021-12-24 04:14:32,35855809,6
2021-12-24 04:29:25,29745906,3
2021-12-24 04:29:25,29746009,2
2021-12-24 04:29:25,29746047,1
2021-12-24 04:29:25,29746068,0
2021-12-24 04:29:25,29746123,2
2021-12-24 04:29:25,29746679,8
2021-12-24 04:29:25,29747497,5
2021-12-24 04:29:25,29749806,2
2021-12-24 04:29:25,29749855,2
2021-12-24 04:29:25,29749951,2
2021-12-24 04:29:25,29750190,0
2021-12-24 04:29:25,29750264,3
2021-12-24 04:29:25,29750615,5
2021-12-24 04:29:25,29751228,3
2021-12-24 04:29:25,29751388,3
2021-12-24 04:29:25,29751426,7
2021-12-24 04:29:25,29751467,2
2021-12-24 04:29:25,29751502,0
