dt,uid,bikes_available_to_rent
2024-02-06 00:12:51,29745906,0
2024-02-06 00:12:51,29746009,1
2024-02-06 00:12:51,29746047,0
2024-02-06 00:12:51,29746068,0
2024-02-06 00:12:51,29746123,1
2024-02-06 00:12:51,29746679,1
2024-02-06 00:12:51,29747497,0
2024-02-06 00:12:51,29749806,0
2024-02-06 00:12:51,29749855,6
2024-02-06 00:12:51,29749951,1
2024-02-06 00:12:51,29750190,0
2024-02-06 00:12:51,29750264,5
2024-02-06 00:12:51,29750615,3
2024-02-06 00:12:51,29751228,2
2024-02-06 00:12:51,29751388,1
2024-02-06 00:12:51,29751426,7
2024-02-06 00:12:51,29751502,1
2024-02-06 00:12:51,29751545,4
2024-02-06 00:12:51,29751592,0
2024-02-06 00:12:51,29751674,0
2024-02-06 00:12:51,29751736,1
2024-02-06 00:12:51,29751789,0
2024-02-06 00:12:51,29751918,2
2024-02-06 00:12:51,29752309,13
2024-02-06 00:12:51,29752472,1
2024-02-06 00:12:51,29752573,0
2024-02-06 00:12:51,29753372,5
2024-02-06 00:12:51,29753410,0
2024-02-06 00:12:51,29755203,0
2024-02-06 00:12:51,29992386,3
2024-02-06 00:12:51,29992613,2
2024-02-06 00:12:51,30278163,1
2024-02-06 00:12:51,30613108,3
2024-02-06 00:12:51,30613827,1
2024-02-06 00:12:51,30613955,0
2024-02-06 00:12:51,30925063,2
2024-02-06 00:12:51,31868207,5
2024-02-06 00:12:51,35855774,0
2024-02-06 00:12:51,35855809,0
2024-02-06 00:12:51,145369985,1
2024-02-06 00:12:51,152260960,0
2024-02-06 00:12:51,158039882,1
2024-02-06 00:12:51,158040425,0
2024-02-06 00:12:51,158040663,2
2024-02-06 00:12:51,158040927,0
2024-02-06 00:12:51,158041172,1
2024-02-06 00:12:51,158041482,0
2024-02-06 00:12:51,158041981,2
2024-02-06 00:12:51,158042216,2
2024-02-06 00:12:51,158042737,3
2024-02-06 00:12:51,158042992,2
2024-02-06 00:12:51,158046029,1
2024-02-06 00:12:51,158046288,0
2024-02-06 00:12:51,158046511,0
2024-02-06 00:12:51,158046728,1
2024-02-06 00:12:51,158046916,7
2024-02-06 00:12:51,167222018,1
