dt,uid,bikes_available_to_rent
2021-09-16 00:13:26,29745906,10
2021-09-16 00:13:26,29746009,1
2021-09-16 00:13:26,29746047,2
2021-09-16 00:13:26,29746068,0
2021-09-16 00:13:26,29746123,0
2021-09-16 00:13:26,29746679,6
2021-09-16 00:13:26,29747497,9
2021-09-16 00:13:26,29749806,3
2021-09-16 00:13:26,29749855,4
2021-09-16 00:13:26,29749951,4
2021-09-16 00:13:26,29750190,6
2021-09-16 00:13:26,29750264,3
2021-09-16 00:13:26,29750615,4
2021-09-16 00:13:26,29751228,5
2021-09-16 00:13:26,29751388,6
2021-09-16 00:13:26,29751426,9
2021-09-16 00:13:26,29751467,3
2021-09-16 00:13:26,29751502,0
2021-09-16 00:13:26,29751545,1
2021-09-16 00:13:26,29751592,1
2021-09-16 00:13:26,29751674,1
2021-09-16 00:13:26,29751736,3
2021-09-16 00:13:26,29751789,4
2021-09-16 00:13:26,29751918,3
2021-09-16 00:13:26,29752309,9
2021-09-16 00:13:26,29752472,0
2021-09-16 00:13:26,29752573,1
2021-09-16 00:13:26,29753372,2
2021-09-16 00:13:26,29753410,1
2021-09-16 00:13:26,29992386,0
2021-09-16 00:13:26,29992613,4
2021-09-16 00:13:26,30278163,2
2021-09-16 00:13:26,30613108,1
2021-09-16 00:13:26,30613827,0
2021-09-16 00:13:26,30613955,2
2021-09-16 00:13:26,30925063,2
2021-09-16 00:13:26,31868207,8
2021-09-16 00:13:26,35855774,0
2021-09-16 00:13:26,35855809,3
2021-09-16 00:27:36,29745906,10
2021-09-16 00:27:36,29746009,1
2021-09-16 00:27:36,29746047,2
2021-09-16 00:27:36,29746068,0
2021-09-16 00:27:36,29746123,0
2021-09-16 00:27:36,29746679,6
2021-09-16 00:27:36,29747497,9
2021-09-16 00:27:36,29749806,3
2021-09-16 00:27:36,29749855,4
2021-09-16 00:27:36,29749951,4
2021-09-16 00:27:36,29750190,6
2021-09-16 00:27:36,29750264,3
2021-09-16 00:27:36,29750615,4
2021-09-16 00:27:36,29751228,5
2021-09-16 00:27:36,29751388,6
2021-09-16 00:27:36,29751426,9
2021-09-16 00:27:36,29751467,3
2021-09-16 00:27:36,29751502,0
2021-09-16 00:27:36,29751545,1
2021-09-16 00:27:36,29751592,1
2021-09-16 00:27:36,29751674,1
2021-09-16 00:27:36,29751736,3
2021-09-16 00:27:36,29751789,4
2021-09-16 00:27:36,29751918,3
2021-09-16 00:27:36,29752309,8
2021-09-16 00:27:36,29752472,0
2021-09-16 00:27:36,29752573,1
2021-09-16 00:27:36,29753372,2
2021-09-16 00:27:36,29753410,1
2021-09-16 00:27:36,29992386,0
2021-09-16 00:27:36,29992613,4
2021-09-16 00:27:36,30278163,2
2021-09-16 00:27:36,30613108,1
2021-09-16 00:27:36,30613827,0
2021-09-16 00:27:36,30613955,2
2021-09-16 00:27:36,30925063,2
2021-09-16 00:27:36,31868207,8
2021-09-16 00:27:36,35855774,0
2021-09-16 00:27:36,35855809,3
2021-09-16 00:39:15,29745906,10
2021-09-16 00:39:15,29746009,1
2021-09-16 00:39:15,29746047,2
2021-09-16 00:39:15,29746068,0
2021-09-16 00:39:15,29746123,0
2021-09-16 00:39:15,29746679,6
2021-09-16 00:39:15,29747497,9
2021-09-16 00:39:15,29749806,3
2021-09-16 00:39:15,29749855,4
2021-09-16 00:39:15,29749951,4
2021-09-16 00:39:15,29750190,6
2021-09-16 00:39:15,29750264,3
2021-09-16 00:39:15,29750615,4
2021-09-16 00:39:15,29751228,5
2021-09-16 00:39:15,29751388,6
2021-09-16 00:39:15,29751426,10
2021-09-16 00:39:15,29751467,3
2021-09-16 00:39:15,29751502,0
2021-09-16 00:39:15,29751545,1
2021-09-16 00:39:15,29751592,1
2021-09-16 00:39:15,29751674,1
2021-09-16 00:39:15,29751736,3
2021-09-16 00:39:15,29751789,4
2021-09-16 00:39:15,29751918,3
2021-09-16 00:39:15,29752309,8
2021-09-16 00:39:15,29752472,0
2021-09-16 00:39:15,29752573,1
2021-09-16 00:39:15,29753372,2
2021-09-16 00:39:15,29753410,1
2021-09-16 00:39:15,29992386,0
2021-09-16 00:39:15,29992613,4
2021-09-16 00:39:15,30278163,2
2021-09-16 00:39:15,30613108,1
2021-09-16 00:39:15,30613827,0
2021-09-16 00:39:15,30613955,2
2021-09-16 00:39:15,30925063,2
2021-09-16 00:39:15,31868207,8
2021-09-16 00:39:15,35855774,0
2021-09-16 00:39:15,35855809,3
