dt,uid,bikes_available_to_rent
2022-07-19 00:15:56,29745906,7
2022-07-19 00:15:56,29746009,5
2022-07-19 00:15:56,29746047,3
2022-07-19 00:15:56,29746068,1
2022-07-19 00:15:56,29746123,0
2022-07-19 00:15:56,29746679,3
2022-07-19 00:15:56,29747497,5
2022-07-19 00:15:56,29749806,0
2022-07-19 00:15:56,29749855,3
2022-07-19 00:15:56,29749951,0
2022-07-19 00:15:56,29750190,3
2022-07-19 00:15:56,29750264,3
2022-07-19 00:15:56,29750615,2
2022-07-19 00:15:56,29751228,4
2022-07-19 00:15:56,29751388,6
2022-07-19 00:15:56,29751426,1
2022-07-19 00:15:56,29751502,1
2022-07-19 00:15:56,29751545,5
2022-07-19 00:15:56,29751592,0
2022-07-19 00:15:56,29751674,1
2022-07-19 00:15:56,29751736,6
2022-07-19 00:15:56,29751789,1
2022-07-19 00:15:56,29751918,1
2022-07-19 00:15:56,29752309,10
2022-07-19 00:15:56,29752472,1
2022-07-19 00:15:56,29752573,3
2022-07-19 00:15:56,29753372,3
2022-07-19 00:15:56,29753410,1
2022-07-19 00:15:56,29755203,0
2022-07-19 00:15:56,29992386,0
2022-07-19 00:15:56,29992613,5
2022-07-19 00:15:56,30278163,2
2022-07-19 00:15:56,30613108,3
2022-07-19 00:15:56,30613827,0
2022-07-19 00:15:56,30613955,6
2022-07-19 00:15:56,30925063,1
2022-07-19 00:15:56,31868207,2
2022-07-19 00:15:56,35855774,2
2022-07-19 00:15:56,35855809,3
2022-07-19 00:30:23,29745906,7
2022-07-19 00:30:23,29746009,5
2022-07-19 00:30:23,29746047,3
2022-07-19 00:30:23,29746068,1
2022-07-19 00:30:23,29746123,0
2022-07-19 00:30:23,29746679,3
2022-07-19 00:30:23,29747497,5
2022-07-19 00:30:23,29749806,0
2022-07-19 00:30:23,29749855,4
2022-07-19 00:30:23,29749951,0
2022-07-19 00:30:23,29750190,3
2022-07-19 00:30:23,29750264,3
2022-07-19 00:30:23,29750615,2
2022-07-19 00:30:23,29751228,4
2022-07-19 00:30:23,29751388,6
2022-07-19 00:30:23,29751426,1
2022-07-19 00:30:23,29751502,1
2022-07-19 00:30:23,29751545,5
2022-07-19 00:30:23,29751592,0
2022-07-19 00:30:23,29751674,1
2022-07-19 00:30:23,29751736,6
2022-07-19 00:30:23,29751789,1
2022-07-19 00:30:23,29751918,1
2022-07-19 00:30:23,29752309,10
2022-07-19 00:30:23,29752472,1
2022-07-19 00:30:23,29752573,3
2022-07-19 00:30:23,29753372,3
2022-07-19 00:30:23,29753410,1
2022-07-19 00:30:23,29755203,0
2022-07-19 00:30:23,29992386,0
2022-07-19 00:30:23,29992613,5
2022-07-19 00:30:23,30278163,2
2022-07-19 00:30:23,30613108,3
2022-07-19 00:30:23,30613827,0
2022-07-19 00:30:23,30613955,6
2022-07-19 00:30:23,30925063,1
2022-07-19 00:30:23,31868207,2
2022-07-19 00:30:23,35855774,2
2022-07-19 00:30:23,35855809,3
2022-07-19 00:41:36,29745906,7
2022-07-19 00:41:36,29746009,5
2022-07-19 00:41:36,29746047,3
2022-07-19 00:41:36,29746068,1
2022-07-19 00:41:36,29746123,0
2022-07-19 00:41:36,29746679,3
2022-07-19 00:41:36,29747497,5
2022-07-19 00:41:36,29749806,0
2022-07-19 00:41:36,29749855,4
2022-07-19 00:41:36,29749951,0
2022-07-19 00:41:36,29750190,3
2022-07-19 00:41:36,29750264,3
2022-07-19 00:41:36,29750615,2
2022-07-19 00:41:36,29751228,4
2022-07-19 00:41:36,29751388,6
2022-07-19 00:41:36,29751426,1
2022-07-19 00:41:36,29751502,1
2022-07-19 00:41:36,29751545,5
2022-07-19 00:41:36,29751592,0
2022-07-19 00:41:36,29751674,1
2022-07-19 00:41:36,29751736,6
2022-07-19 00:41:36,29751789,1
