dt,uid,bikes_available_to_rent
2022-09-30 00:18:49,29745906,3
2022-09-30 00:18:49,29746009,0
2022-09-30 00:18:49,29746047,2
2022-09-30 00:18:49,29746068,1
2022-09-30 00:18:49,29746123,2
2022-09-30 00:18:49,29746679,3
2022-09-30 00:18:49,29747497,5
2022-09-30 00:18:49,29749806,2
2022-09-30 00:18:49,29749855,6
2022-09-30 00:18:49,29750190,2
2022-09-30 00:18:49,29750264,3
2022-09-30 00:18:49,29750615,3
2022-09-30 00:18:49,29751228,2
2022-09-30 00:18:49,29751388,4
2022-09-30 00:18:49,29751426,1
2022-09-30 00:18:49,29751502,5
2022-09-30 00:18:49,29751545,5
2022-09-30 00:18:49,29751592,2
2022-09-30 00:18:49,29751674,2
2022-09-30 00:18:49,29751736,4
2022-09-30 00:18:49,29751789,2
2022-09-30 00:18:49,29751918,0
2022-09-30 00:18:49,29752309,9
2022-09-30 00:18:49,29752472,1
2022-09-30 00:18:49,29752573,3
2022-09-30 00:18:49,29753372,1
2022-09-30 00:18:49,29753410,8
2022-09-30 00:18:49,29755203,1
2022-09-30 00:18:49,29992386,3
2022-09-30 00:18:49,29992613,2
2022-09-30 00:18:49,30278163,5
2022-09-30 00:18:49,30613108,2
2022-09-30 00:18:49,30613827,0
2022-09-30 00:18:49,30613955,0
2022-09-30 00:18:49,30925063,3
2022-09-30 00:18:49,31868207,4
2022-09-30 00:18:49,35855774,1
2022-09-30 00:18:49,35855809,2
2022-09-30 00:35:35,29745906,3
2022-09-30 00:35:35,29746009,0
2022-09-30 00:35:35,29746047,2
2022-09-30 00:35:35,29746068,1
2022-09-30 00:35:35,29746123,2
2022-09-30 00:35:35,29746679,4
2022-09-30 00:35:35,29747497,5
2022-09-30 00:35:35,29749806,2
2022-09-30 00:35:35,29749855,6
2022-09-30 00:35:35,29750190,2
2022-09-30 00:35:35,29750264,3
2022-09-30 00:35:35,29750615,3
2022-09-30 00:35:35,29751228,2
2022-09-30 00:35:35,29751388,4
2022-09-30 00:35:35,29751426,1
2022-09-30 00:35:35,29751502,5
2022-09-30 00:35:35,29751545,5
2022-09-30 00:35:35,29751592,2
2022-09-30 00:35:35,29751674,2
2022-09-30 00:35:35,29751736,4
2022-09-30 00:35:35,29751789,2
2022-09-30 00:35:35,29751918,0
2022-09-30 00:35:35,29752309,8
2022-09-30 00:35:35,29752472,1
2022-09-30 00:35:35,29752573,3
2022-09-30 00:35:35,29753372,1
2022-09-30 00:35:35,29753410,8
2022-09-30 00:35:35,29755203,1
2022-09-30 00:35:35,29992386,3
2022-09-30 00:35:35,29992613,2
2022-09-30 00:35:35,30278163,5
2022-09-30 00:35:35,30613108,2
2022-09-30 00:35:35,30613827,0
2022-09-30 00:35:35,30613955,0
2022-09-30 00:35:35,30925063,3
2022-09-30 00:35:35,31868207,4
2022-09-30 00:35:35,35855774,1
2022-09-30 00:35:35,35855809,2
2022-09-30 00:47:28,29745906,3
2022-09-30 00:47:28,29746009,0
2022-09-30 00:47:28,29746047,2
2022-09-30 00:47:28,29746068,1
2022-09-30 00:47:28,29746123,2
2022-09-30 00:47:28,29746679,4
2022-09-30 00:47:28,29747497,5
2022-09-30 00:47:28,29749806,2
2022-09-30 00:47:28,29749855,6
2022-09-30 00:47:28,29750190,2
2022-09-30 00:47:28,29750264,3
2022-09-30 00:47:28,29750615,3
2022-09-30 00:47:28,29751228,2
2022-09-30 00:47:28,29751388,4
2022-09-30 00:47:28,29751426,1
2022-09-30 00:47:28,29751502,5
2022-09-30 00:47:28,29751545,5
2022-09-30 00:47:28,29751592,2
2022-09-30 00:47:28,29751674,2
2022-09-30 00:47:28,29751736,4
2022-09-30 00:47:28,29751789,2
2022-09-30 00:47:28,29751918,0
2022-09-30 00:47:28,29752309,8
2022-09-30 00:47:28,29752472,1
2022-09-30 00:47:28,29752573,3
2022-09-30 00:47:28,29753372,1
2022-09-30 00:47:28,29753410,8
2022-09-30 00:47:28,29755203,1
2022-09-30 00:47:28,29992386,3
2022-09-30 00:47:28,29992613,2
2022-09-30 00:47:28,30278163,5
2022-09-30 00:47:28,30613108,2
2022-09-30 00:47:28,30613827,0
2022-09-30 00:47:28,30613955,0
2022-09-30 00:47:28,30925063,3
2022-09-30 00:47:28,31868207,4
2022-09-30 00:47:28,35855774,1
2022-09-30 00:47:28,35855809,2
