dt,uid,bikes_available_to_rent
2023-06-30 00:02:16,29745906,3
2023-06-30 00:02:16,29746009,2
2023-06-30 00:02:16,29746047,0
2023-06-30 00:02:16,29746068,0
2023-06-30 00:02:16,29746123,0
2023-06-30 00:02:16,29746679,7
2023-06-30 00:02:16,29747497,2
2023-06-30 00:02:16,29749806,0
2023-06-30 00:02:16,29749855,1
2023-06-30 00:02:16,29749951,1
2023-06-30 00:02:16,29750190,2
2023-06-30 00:02:16,29750264,3
2023-06-30 00:02:16,29750615,1
2023-06-30 00:02:16,29751228,2
2023-06-30 00:02:16,29751388,1
2023-06-30 00:02:16,29751426,4
2023-06-30 00:02:16,29751502,0
2023-06-30 00:02:16,29751545,1
2023-06-30 00:02:16,29751592,0
2023-06-30 00:02:16,29751674,4
2023-06-30 00:02:16,29751736,6
2023-06-30 00:02:16,29751789,2
2023-06-30 00:02:16,29751918,4
2023-06-30 00:02:16,29752309,2
2023-06-30 00:02:16,29752472,1
2023-06-30 00:02:16,29752573,3
2023-06-30 00:02:16,29753372,4
2023-06-30 00:02:16,29753410,6
2023-06-30 00:02:16,29755203,1
2023-06-30 00:02:16,29992386,0
2023-06-30 00:02:16,29992613,0
2023-06-30 00:02:16,30278163,4
2023-06-30 00:02:16,30613108,0
2023-06-30 00:02:16,30613827,0
2023-06-30 00:02:16,30613955,3
2023-06-30 00:02:16,30925063,0
2023-06-30 00:02:16,31868207,4
2023-06-30 00:02:16,35855774,0
2023-06-30 00:02:16,35855809,0
2023-06-30 00:02:16,145369985,2
2023-06-30 00:02:16,152260960,0
2023-06-30 00:02:16,158039882,1
2023-06-30 00:02:16,158040425,0
2023-06-30 00:02:16,158040663,2
2023-06-30 00:02:16,158040927,2
2023-06-30 00:02:16,158041172,0
2023-06-30 00:02:16,158041482,2
2023-06-30 00:02:16,158041981,4
2023-06-30 00:02:16,158042216,3
2023-06-30 00:02:16,158042737,2
2023-06-30 00:02:16,158042992,3
2023-06-30 00:02:16,158046029,3
2023-06-30 00:02:16,158046288,4
2023-06-30 00:02:16,158046511,0
2023-06-30 00:02:16,158046728,2
2023-06-30 00:02:16,158046916,0
2023-06-30 00:02:16,167222018,0
2023-06-30 00:02:16,167222141,1
2023-06-30 00:02:16,176856256,1
2023-06-30 00:02:16,203568824,1
2023-06-30 00:20:09,29745906,3
2023-06-30 00:20:09,29746009,2
2023-06-30 00:20:09,29746047,0
2023-06-30 00:20:09,29746068,0
2023-06-30 00:20:09,29746123,0
2023-06-30 00:20:09,29746679,7
2023-06-30 00:20:09,29747497,2
2023-06-30 00:20:09,29749806,0
2023-06-30 00:20:09,29749855,1
2023-06-30 00:20:09,29749951,1
2023-06-30 00:20:09,29750190,2
2023-06-30 00:20:09,29750264,3
2023-06-30 00:20:09,29750615,1
2023-06-30 00:20:09,29751228,2
2023-06-30 00:20:09,29751388,1
2023-06-30 00:20:09,29751426,4
2023-06-30 00:20:09,29751502,0
2023-06-30 00:20:09,29751545,1
2023-06-30 00:20:09,29751592,0
2023-06-30 00:20:09,29751674,4
2023-06-30 00:20:09,29751736,6
2023-06-30 00:20:09,29751789,2
2023-06-30 00:20:09,29751918,4
2023-06-30 00:20:09,29752309,2
2023-06-30 00:20:09,29752472,1
2023-06-30 00:20:09,29752573,3
2023-06-30 00:20:09,29753372,4
2023-06-30 00:20:09,29753410,6
2023-06-30 00:20:09,29755203,1
2023-06-30 00:20:09,29992386,0
2023-06-30 00:20:09,29992613,0
2023-06-30 00:20:09,30278163,4
2023-06-30 00:20:09,30613108,0
2023-06-30 00:20:09,30613827,0
2023-06-30 00:20:09,30613955,4
2023-06-30 00:20:09,30925063,0
2023-06-30 00:20:09,31868207,4
2023-06-30 00:20:09,35855774,0
2023-06-30 00:20:09,35855809,0
2023-06-30 00:20:09,145369985,2
2023-06-30 00:20:09,152260960,0
2023-06-30 00:20:09,158039882,1
2023-06-30 00:20:09,158040425,0
2023-06-30 00:20:09,158040663,2
2023-06-30 00:20:09,158040927,2
2023-06-30 00:20:09,158041172,0
2023-06-30 00:20:09,158041482,3
2023-06-30 00:20:09,158041981,4
2023-06-30 00:20:09,158042216,3
2023-06-30 00:20:09,158042737,2
2023-06-30 00:20:09,158042992,3
2023-06-30 00:20:09,158046029,3
2023-06-30 00:20:09,158046288,4
2023-06-30 00:20:09,158046511,0
2023-06-30 00:20:09,158046728,2
2023-06-30 00:20:09,158046916,0
2023-06-30 00:20:09,167222018,0
2023-06-30 00:20:09,167222141,1
2023-06-30 00:20:09,176856256,1
2023-06-30 00:20:09,203568824,1
2023-06-30 00:33:59,29745906,3
2023-06-30 00:33:59,29746009,2
2023-06-30 00:33:59,29746047,0
2023-06-30 00:33:59,29746068,0
2023-06-30 00:33:59,29746123,0
2023-06-30 00:33:59,29746679,7
2023-06-30 00:33:59,29747497,2
2023-06-30 00:33:59,29749806,0
2023-06-30 00:33:59,29749855,1
2023-06-30 00:33:59,29749951,1
2023-06-30 00:33:59,29750190,2
2023-06-30 00:33:59,29750264,3
2023-06-30 00:33:59,29750615,1
2023-06-30 00:33:59,29751228,2
2023-06-30 00:33:59,29751388,1
2023-06-30 00:33:59,29751426,4
2023-06-30 00:33:59,29751502,0
2023-06-30 00:33:59,29751545,1
2023-06-30 00:33:59,29751592,0
2023-06-30 00:33:59,29751674,4
2023-06-30 00:33:59,29751736,6
2023-06-30 00:33:59,29751789,2
2023-06-30 00:33:59,29751918,4
2023-06-30 00:33:59,29752309,2
2023-06-30 00:33:59,29752472,1
2023-06-30 00:33:59,29752573,3
2023-06-30 00:33:59,29753372,4
2023-06-30 00:33:59,29753410,6
2023-06-30 00:33:59,29755203,1
2023-06-30 00:33:59,29992386,0
2023-06-30 00:33:59,29992613,0
2023-06-30 00:33:59,30278163,4
2023-06-30 00:33:59,30613108,0
2023-06-30 00:33:59,30613827,0
2023-06-30 00:33:59,30613955,4
2023-06-30 00:33:59,30925063,0
2023-06-30 00:33:59,31868207,4
2023-06-30 00:33:59,35855774,0
2023-06-30 00:33:59,35855809,0
2023-06-30 00:33:59,145369985,2
2023-06-30 00:33:59,152260960,0
2023-06-30 00:33:59,158039882,1
2023-06-30 00:33:59,158040425,0
2023-06-30 00:33:59,158040663,2
2023-06-30 00:33:59,158040927,2
2023-06-30 00:33:59,158041172,0
2023-06-30 00:33:59,158041482,3
2023-06-30 00:33:59,158041981,4
2023-06-30 00:33:59,158042216,3
2023-06-30 00:33:59,158042737,2
2023-06-30 00:33:59,158042992,3
2023-06-30 00:33:59,158046029,3
2023-06-30 00:33:59,158046288,4
2023-06-30 00:33:59,158046511,0
2023-06-30 00:33:59,158046728,2
2023-06-30 00:33:59,158046916,0
2023-06-30 00:33:59,167222018,0
2023-06-30 00:33:59,167222141,1
2023-06-30 00:33:59,176856256,1
2023-06-30 00:33:59,203568824,1
2023-06-30 00:49:11,29745906,3
2023-06-30 00:49:11,29746009,2
2023-06-30 00:49:11,29746047,0
2023-06-30 00:49:11,29746068,0
2023-06-30 00:49:11,29746123,0
2023-06-30 00:49:11,29746679,7
2023-06-30 00:49:11,29747497,2
2023-06-30 00:49:11,29749806,0
2023-06-30 00:49:11,29749855,1
2023-06-30 00:49:11,29749951,1
2023-06-30 00:49:11,29750190,2
2023-06-30 00:49:11,29750264,3
2023-06-30 00:49:11,29750615,1
2023-06-30 00:49:11,29751228,2
2023-06-30 00:49:11,29751388,1
2023-06-30 00:49:11,29751426,4
2023-06-30 00:49:11,29751502,0
2023-06-30 00:49:11,29751545,1
2023-06-30 00:49:11,29751592,0
2023-06-30 00:49:11,29751674,4
2023-06-30 00:49:11,29751736,6
2023-06-30 00:49:11,29751789,2
2023-06-30 00:49:11,29751918,4
2023-06-30 00:49:11,29752309,2
2023-06-30 00:49:11,29752472,1
2023-06-30 00:49:11,29752573,3
2023-06-30 00:49:11,29753372,4
2023-06-30 00:49:11,29753410,6
2023-06-30 00:49:11,29755203,1
2023-06-30 00:49:11,29992386,0
2023-06-30 00:49:11,29992613,0
2023-06-30 00:49:11,30278163,4
2023-06-30 00:49:11,30613108,0
2023-06-30 00:49:11,30613827,0
2023-06-30 00:49:11,30613955,4
2023-06-30 00:49:11,30925063,0
2023-06-30 00:49:11,31868207,4
2023-06-30 00:49:11,35855774,0
2023-06-30 00:49:11,35855809,0
2023-06-30 00:49:11,145369985,2
2023-06-30 00:49:11,152260960,0
2023-06-30 00:49:11,158039882,1
2023-06-30 00:49:11,158040425,0
2023-06-30 00:49:11,158040663,2
2023-06-30 00:49:11,158040927,2
2023-06-30 00:49:11,158041172,0
2023-06-30 00:49:11,158041482,3
2023-06-30 00:49:11,158041981,4
2023-06-30 00:49:11,158042216,3
2023-06-30 00:49:11,158042737,2
2023-06-30 00:49:11,158042992,3
2023-06-30 00:49:11,158046029,3
2023-06-30 00:49:11,158046288,4
2023-06-30 00:49:11,158046511,0
2023-06-30 00:49:11,158046728,2
2023-06-30 00:49:11,158046916,0
2023-06-30 00:49:11,167222018,0
2023-06-30 00:49:11,167222141,1
2023-06-30 00:49:11,176856256,1
2023-06-30 00:49:11,203568824,1
2023-06-30 01:02:31,29745906,3
2023-06-30 01:02:31,29746009,2
2023-06-30 01:02:31,29746047,0
2023-06-30 01:02:31,29746068,0
2023-06-30 01:02:31,29746123,0
2023-06-30 01:02:31,29746679,7
2023-06-30 01:02:31,29747497,2
2023-06-30 01:02:31,29749806,0
2023-06-30 01:02:31,29749855,1
2023-06-30 01:02:31,29749951,1
2023-06-30 01:02:31,29750190,2
2023-06-30 01:02:31,29750264,3
2023-06-30 01:02:31,29750615,1
2023-06-30 01:02:31,29751228,2
2023-06-30 01:02:31,29751388,1
2023-06-30 01:02:31,29751426,4
2023-06-30 01:02:31,29751502,0
2023-06-30 01:02:31,29751545,1
2023-06-30 01:02:31,29751592,0
2023-06-30 01:02:31,29751674,4
2023-06-30 01:02:31,29751736,6
2023-06-30 01:02:31,29751789,2
2023-06-30 01:02:31,29751918,4
2023-06-30 01:02:31,29752309,2
2023-06-30 01:02:31,29752472,1
2023-06-30 01:02:31,29752573,3
2023-06-30 01:02:31,29753372,4
2023-06-30 01:02:31,29753410,6
2023-06-30 01:02:31,29755203,1
2023-06-30 01:02:31,29992386,0
2023-06-30 01:02:31,29992613,0
2023-06-30 01:02:31,30278163,4
2023-06-30 01:02:31,30613108,0
2023-06-30 01:02:31,30613827,0
2023-06-30 01:02:31,30613955,4
2023-06-30 01:02:31,30925063,0
2023-06-30 01:02:31,31868207,4
2023-06-30 01:02:31,35855774,0
2023-06-30 01:02:31,35855809,0
2023-06-30 01:02:31,145369985,2
2023-06-30 01:02:31,152260960,0
2023-06-30 01:02:31,158039882,1
2023-06-30 01:02:31,158040425,0
2023-06-30 01:02:31,158040663,2
2023-06-30 01:02:31,158040927,2
2023-06-30 01:02:31,158041172,0
2023-06-30 01:02:31,158041482,3
2023-06-30 01:02:31,158041981,4
2023-06-30 01:02:31,158042216,3
2023-06-30 01:02:31,158042737,2
2023-06-30 01:02:31,158042992,3
2023-06-30 01:02:31,158046029,3
2023-06-30 01:02:31,158046288,4
2023-06-30 01:02:31,158046511,0
2023-06-30 01:02:31,158046728,2
2023-06-30 01:02:31,158046916,0
2023-06-30 01:02:31,167222018,0
2023-06-30 01:02:31,167222141,1
2023-06-30 01:02:31,176856256,1
2023-06-30 01:02:31,203568824,1
2023-06-30 01:20:13,29745906,3
2023-06-30 01:20:13,29746009,2
2023-06-30 01:20:13,29746047,0
2023-06-30 01:20:13,29746068,0
2023-06-30 01:20:13,29746123,0
2023-06-30 01:20:13,29746679,7
2023-06-30 01:20:13,29747497,2
2023-06-30 01:20:13,29749806,0
2023-06-30 01:20:13,29749855,1
2023-06-30 01:20:13,29749951,1
2023-06-30 01:20:13,29750190,2
2023-06-30 01:20:13,29750264,3
2023-06-30 01:20:13,29750615,1
