dt,uid,bikes_available_to_rent
2022-12-18 00:12:23,29745906,1
2022-12-18 00:12:23,29746009,4
2022-12-18 00:12:23,29746047,3
2022-12-18 00:12:23,29746068,2
2022-12-18 00:12:23,29746123,1
2022-12-18 00:12:23,29746679,5
2022-12-18 00:12:23,29747497,3
2022-12-18 00:12:23,29749806,3
2022-12-18 00:12:23,29749855,4
2022-12-18 00:12:23,29750190,0
2022-12-18 00:12:23,29750264,1
2022-12-18 00:12:23,29750615,1
2022-12-18 00:12:23,29751228,5
2022-12-18 00:12:23,29751388,4
2022-12-18 00:12:23,29751426,5
2022-12-18 00:12:23,29751502,1
2022-12-18 00:12:23,29751545,2
2022-12-18 00:12:23,29751592,1
2022-12-18 00:12:23,29751674,3
2022-12-18 00:12:23,29751736,0
2022-12-18 00:12:23,29751789,3
2022-12-18 00:12:23,29751918,5
2022-12-18 00:12:23,29752309,3
2022-12-18 00:12:23,29752472,2
2022-12-18 00:12:23,29752573,2
2022-12-18 00:12:23,29753372,3
2022-12-18 00:12:23,29753410,1
2022-12-18 00:12:23,29755203,4
2022-12-18 00:12:23,29992386,6
2022-12-18 00:12:23,29992613,3
2022-12-18 00:12:23,30278163,1
2022-12-18 00:12:23,30613108,3
2022-12-18 00:12:23,30613827,2
2022-12-18 00:12:23,30613955,3
2022-12-18 00:12:23,30925063,4
2022-12-18 00:12:23,31868207,2
2022-12-18 00:12:23,35855774,2
2022-12-18 00:12:23,35855809,5
2022-12-18 00:23:03,29745906,1
2022-12-18 00:23:03,29746009,4
2022-12-18 00:23:03,29746047,3
2022-12-18 00:23:03,29746068,2
2022-12-18 00:23:03,29746123,1
2022-12-18 00:23:03,29746679,5
2022-12-18 00:23:03,29747497,3
2022-12-18 00:23:03,29749806,3
2022-12-18 00:23:03,29749855,4
2022-12-18 00:23:03,29750190,0
2022-12-18 00:23:03,29750264,1
2022-12-18 00:23:03,29750615,1
2022-12-18 00:23:03,29751228,5
2022-12-18 00:23:03,29751388,4
2022-12-18 00:23:03,29751426,5
2022-12-18 00:23:03,29751502,1
2022-12-18 00:23:03,29751545,2
2022-12-18 00:23:03,29751592,1
2022-12-18 00:23:03,29751674,3
2022-12-18 00:23:03,29751736,0
2022-12-18 00:23:03,29751789,3
2022-12-18 00:23:03,29751918,5
2022-12-18 00:23:03,29752309,3
2022-12-18 00:23:03,29752472,2
2022-12-18 00:23:03,29752573,2
2022-12-18 00:23:03,29753372,3
2022-12-18 00:23:03,29753410,1
2022-12-18 00:23:03,29755203,4
2022-12-18 00:23:03,29992386,6
2022-12-18 00:23:03,29992613,3
2022-12-18 00:23:03,30278163,1
2022-12-18 00:23:03,30613108,3
2022-12-18 00:23:03,30613827,2
2022-12-18 00:23:03,30613955,3
2022-12-18 00:23:03,30925063,4
2022-12-18 00:23:03,31868207,2
2022-12-18 00:23:03,35855774,2
2022-12-18 00:23:03,35855809,5
2022-12-18 00:36:57,29745906,1
2022-12-18 00:36:57,29746009,4
2022-12-18 00:36:57,29746047,3
2022-12-18 00:36:57,29746068,2
2022-12-18 00:36:57,29746123,1
2022-12-18 00:36:57,29746679,5
2022-12-18 00:36:57,29747497,3
2022-12-18 00:36:57,29749806,3
2022-12-18 00:36:57,29749855,4
2022-12-18 00:36:57,29750190,0
2022-12-18 00:36:57,29750264,1
2022-12-18 00:36:57,29750615,1
2022-12-18 00:36:57,29751228,5
2022-12-18 00:36:57,29751388,4
2022-12-18 00:36:57,29751426,5
2022-12-18 00:36:57,29751502,1
2022-12-18 00:36:57,29751545,2
2022-12-18 00:36:57,29751592,1
2022-12-18 00:36:57,29751674,3
2022-12-18 00:36:57,29751736,0
2022-12-18 00:36:57,29751789,3
2022-12-18 00:36:57,29751918,5
2022-12-18 00:36:57,29752309,3
2022-12-18 00:36:57,29752472,2
2022-12-18 00:36:57,29752573,2
2022-12-18 00:36:57,29753372,3
2022-12-18 00:36:57,29753410,1
2022-12-18 00:36:57,29755203,4
2022-12-18 00:36:57,29992386,6
2022-12-18 00:36:57,29992613,3
2022-12-18 00:36:57,30278163,1
2022-12-18 00:36:57,30613108,3
2022-12-18 00:36:57,30613827,2
2022-12-18 00:36:57,30613955,3
2022-12-18 00:36:57,30925063,4
2022-12-18 00:36:57,31868207,2
2022-12-18 00:36:57,35855774,2
2022-12-18 00:36:57,35855809,5
2022-12-18 00:53:01,29745906,1
2022-12-18 00:53:01,29746009,4
2022-12-18 00:53:01,29746047,3
2022-12-18 00:53:01,29746068,2
2022-12-18 00:53:01,29746123,1
2022-12-18 00:53:01,29746679,5
2022-12-18 00:53:01,29747497,3
2022-12-18 00:53:01,29749806,3
2022-12-18 00:53:01,29749855,4
2022-12-18 00:53:01,29750190,0
2022-12-18 00:53:01,29750264,1
2022-12-18 00:53:01,29750615,1
2022-12-18 00:53:01,29751228,5
2022-12-18 00:53:01,29751388,4
2022-12-18 00:53:01,29751426,5
2022-12-18 00:53:01,29751502,1
2022-12-18 00:53:01,29751545,2
2022-12-18 00:53:01,29751592,1
2022-12-18 00:53:01,29751674,3
2022-12-18 00:53:01,29751736,0
2022-12-18 00:53:01,29751789,3
2022-12-18 00:53:01,29751918,5
2022-12-18 00:53:01,29752309,3
2022-12-18 00:53:01,29752472,2
2022-12-18 00:53:01,29752573,2
2022-12-18 00:53:01,29753372,3
2022-12-18 00:53:01,29753410,1
2022-12-18 00:53:01,29755203,4
2022-12-18 00:53:01,29992386,6
2022-12-18 00:53:01,29992613,3
2022-12-18 00:53:01,30278163,1
2022-12-18 00:53:01,30613108,3
2022-12-18 00:53:01,30613827,2
2022-12-18 00:53:01,30613955,3
2022-12-18 00:53:01,30925063,4
2022-12-18 00:53:01,31868207,2
2022-12-18 00:53:01,35855774,2
2022-12-18 00:53:01,35855809,5
2022-12-18 02:06:10,29745906,1
2022-12-18 02:06:10,29746009,4
2022-12-18 02:06:10,29746047,3
2022-12-18 02:06:10,29746068,2
2022-12-18 02:06:10,29746123,1
2022-12-18 02:06:10,29746679,5
2022-12-18 02:06:10,29747497,3
2022-12-18 02:06:10,29749806,3
2022-12-18 02:06:10,29749855,4
2022-12-18 02:06:10,29750190,0
2022-12-18 02:06:10,29750264,1
2022-12-18 02:06:10,29750615,1
2022-12-18 02:06:10,29751228,5
2022-12-18 02:06:10,29751388,4
2022-12-18 02:06:10,29751426,5
2022-12-18 02:06:10,29751502,1
2022-12-18 02:06:10,29751545,2
2022-12-18 02:06:10,29751592,1
